10/23/2018
7:19:58 PM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	0.127081	0.127081
0.002000	0.142355	0.142355
0.004000	0.132172	0.132172
0.006000	0.132172	0.132172
0.008000	0.106716	0.106716
0.010000	0.096534	0.096534
0.012000	0.025257	0.025257
0.014000	-0.010381	-0.010381
0.016000	0.040531	0.040531
0.018000	0.142355	0.142355
0.020000	0.162719	0.162719
0.022000	0.142355	0.142355
0.024000	0.116899	0.116899
0.026000	0.106716	0.106716
0.028000	0.106716	0.106716
0.030000	0.076169	0.076169
0.032000	0.055805	0.055805
0.034000	0.015075	0.015075
0.036000	0.004893	0.004893
0.038000	-0.015472	-0.015472
0.040000	0.030349	0.030349
0.042000	0.045622	0.045622
0.044000	0.015075	0.015075
0.046000	-0.010381	-0.010381
0.048000	0.020166	0.020166
0.050000	0.086352	0.086352
0.052000	0.060896	0.060896
0.054000	0.137264	0.137264
0.056000	0.132172	0.132172
0.058000	0.116899	0.116899
0.060000	0.147446	0.147446
0.062000	0.065987	0.065987
0.064000	0.060896	0.060896
0.066000	0.147446	0.147446
0.068000	0.091443	0.091443
0.070000	0.106716	0.106716
0.072000	0.167811	0.167811
0.074000	0.142355	0.142355
0.076000	0.116899	0.116899
0.078000	0.096534	0.096534
0.080000	0.045622	0.045622
0.082000	0.071078	0.071078
0.084000	0.121990	0.121990
0.086000	0.065987	0.065987
0.088000	0.055805	0.055805
0.090000	0.086352	0.086352
0.092000	0.111808	0.111808
0.094000	0.065987	0.065987
0.096000	0.004893	0.004893
0.098000	0.009984	0.009984
0.100000	0.030349	0.030349
0.102000	0.050713	0.050713
0.104000	0.071078	0.071078
0.106000	0.096534	0.096534
0.108000	0.065987	0.065987
0.110000	0.045622	0.045622
0.112000	0.015075	0.015075
0.114000	0.015075	0.015075
0.116000	0.009984	0.009984
0.118000	0.040531	0.040531
0.120000	0.050713	0.050713
0.122000	0.152537	0.152537
0.124000	0.188175	0.188175
0.126000	0.167811	0.167811
0.128000	0.091443	0.091443
0.130000	0.015075	0.015075
0.132000	0.020166	0.020166
0.134000	0.106716	0.106716
0.136000	0.172902	0.172902
0.138000	0.152537	0.152537
0.140000	0.050713	0.050713
0.142000	0.106716	0.106716
0.144000	0.060896	0.060896
0.146000	-0.005290	-0.005290
0.148000	0.071078	0.071078
0.150000	0.132172	0.132172
0.152000	0.127081	0.127081
0.154000	0.142355	0.142355
0.156000	0.076169	0.076169
0.158000	0.111808	0.111808
0.160000	0.071078	0.071078
0.162000	0.086352	0.086352
0.164000	0.101625	0.101625
0.166000	0.132172	0.132172
0.168000	0.142355	0.142355
0.170000	0.132172	0.132172
0.172000	0.045622	0.045622
0.174000	0.086352	0.086352
0.176000	0.035440	0.035440
0.178000	0.004893	0.004893
0.180000	-0.015472	-0.015472
0.182000	0.009984	0.009984
0.184000	0.035440	0.035440
0.186000	0.040531	0.040531
0.188000	0.050713	0.050713
0.190000	0.137264	0.137264
0.192000	0.060896	0.060896
0.194000	0.050713	0.050713
0.196000	0.137264	0.137264
0.198000	0.132172	0.132172
0.200000	0.081260	0.081260
0.202000	0.020166	0.020166
0.204000	0.060896	0.060896
0.206000	-0.010381	-0.010381
0.208000	0.025257	0.025257
0.210000	0.137264	0.137264
0.212000	0.137264	0.137264
0.214000	0.076169	0.076169
0.216000	0.055805	0.055805
0.218000	0.081260	0.081260
0.220000	0.076169	0.076169
0.222000	0.020166	0.020166
0.224000	0.172902	0.172902
0.226000	0.188175	0.188175
0.228000	0.152537	0.152537
0.230000	0.152537	0.152537
0.232000	0.137264	0.137264
0.234000	0.106716	0.106716
