10/23/2018
7:23:17 PM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	-0.168208	-0.168208
0.002000	0.172902	0.172902
0.004000	0.284908	0.284908
0.006000	0.239087	0.239087
0.008000	0.239087	0.239087
0.010000	0.071078	0.071078
0.012000	0.147446	0.147446
0.014000	-0.147843	-0.147843
0.016000	-0.086749	-0.086749
0.018000	0.025257	0.025257
0.020000	-0.132569	-0.132569
0.022000	0.137264	0.137264
0.024000	0.030349	0.030349
0.026000	0.198358	0.198358
0.028000	0.427461	0.427461
0.030000	-0.300579	-0.300579
0.032000	-0.046019	-0.046019
0.034000	0.244178	0.244178
0.036000	-0.107113	-0.107113
0.038000	-0.229302	-0.229302
0.040000	0.065987	0.065987
0.042000	0.315455	0.315455
0.044000	0.167811	0.167811
0.046000	0.162719	0.162719
0.048000	0.091443	0.091443
0.050000	0.193267	0.193267
0.052000	0.152537	0.152537
0.054000	0.076169	0.076169
0.056000	-0.132569	-0.132569
0.058000	0.060896	0.060896
0.060000	0.239087	0.239087
0.062000	-0.010381	-0.010381
0.064000	0.060896	0.060896
0.066000	0.468191	0.468191
0.068000	0.259452	0.259452
0.070000	0.020166	0.020166
0.072000	-0.188572	-0.188572
0.074000	0.437644	0.437644
0.076000	0.025257	0.025257
0.078000	-0.371855	-0.371855
0.080000	-0.203846	-0.203846
0.082000	0.346002	0.346002
0.084000	-0.020563	-0.020563
0.086000	0.147446	0.147446
0.088000	0.223814	0.223814
0.090000	0.361276	0.361276
0.092000	0.106716	0.106716
0.094000	0.020166	0.020166
0.096000	-0.188572	-0.188572
0.098000	-0.005290	-0.005290
0.100000	0.147446	0.147446
0.102000	0.030349	0.030349
0.104000	0.137264	0.137264
0.106000	-0.020563	-0.020563
0.108000	0.009984	0.009984
0.110000	0.524194	0.524194
0.112000	0.137264	0.137264
0.114000	0.137264	0.137264
0.116000	-0.371855	-0.371855
0.118000	-0.168208	-0.168208
0.120000	0.040531	0.040531
0.122000	0.249270	0.249270
0.124000	0.473282	0.473282
0.126000	-0.040928	-0.040928
0.128000	0.009984	0.009984
0.130000	0.177993	0.177993
0.132000	0.086352	0.086352
0.134000	-0.066384	-0.066384
0.136000	0.198358	0.198358
0.138000	0.402005	0.402005
0.140000	-0.066384	-0.066384
0.142000	-0.040928	-0.040928
0.144000	-0.005290	-0.005290
0.146000	0.121990	0.121990
0.148000	0.203449	0.203449
0.150000	0.183084	0.183084
0.152000	0.152537	0.152537
0.154000	-0.051110	-0.051110
0.156000	-0.020563	-0.020563
0.158000	0.300182	0.300182
0.160000	-0.030746	-0.030746
0.162000	0.127081	0.127081
0.164000	0.071078	0.071078
0.166000	0.570014	0.570014
0.168000	0.198358	0.198358
0.170000	-0.234393	-0.234393
0.172000	0.162719	0.162719
0.174000	-0.234393	-0.234393
0.176000	-0.168208	-0.168208
0.178000	-0.061293	-0.061293
0.180000	0.045622	0.045622
0.182000	0.259452	0.259452
0.184000	0.580197	0.580197
0.186000	0.035440	0.035440
0.188000	0.142355	0.142355
0.190000	0.132172	0.132172
0.192000	0.305273	0.305273
0.194000	-0.040928	-0.040928
0.196000	-0.163116	-0.163116
0.198000	0.009984	0.009984
0.200000	0.274726	0.274726
0.202000	-0.081657	-0.081657
0.204000	0.020166	0.020166
0.206000	-0.173299	-0.173299
0.208000	0.289999	0.289999
0.210000	0.111808	0.111808
0.212000	0.091443	0.091443
0.214000	0.473282	0.473282
0.216000	0.030349	0.030349
0.218000	-0.310761	-0.310761
0.220000	0.055805	0.055805
0.222000	0.223814	0.223814
0.224000	0.177993	0.177993
0.226000	0.228905	0.228905
0.228000	0.172902	0.172902
0.230000	0.101625	0.101625
0.232000	0.015075	0.015075
0.234000	0.081260	0.081260
0.236000	-0.280214	-0.280214
0.238000	-0.152934	-0.152934
0.240000	0.605653	0.605653
0.242000	0.615835	0.615835
0.244000	-0.066384	-0.066384
0.246000	-0.264940	-0.264940
0.248000	-0.056202	-0.056202
0.250000	0.310364	0.310364
0.252000	0.040531	0.040531
0.254000	0.203449	0.203449
0.256000	-0.066384	-0.066384
0.258000	0.004893	0.004893
0.260000	0.177993	0.177993
0.262000	0.356185	0.356185
0.264000	0.025257	0.025257
0.266000	0.116899	0.116899
0.268000	0.121990	0.121990
0.270000	0.177993	0.177993
0.272000	0.116899	0.116899
0.274000	-0.198755	-0.198755
0.276000	-0.305670	-0.305670
0.278000	-0.015472	-0.015472
0.280000	0.223814	0.223814
0.282000	0.269634	0.269634
0.284000	0.188175	0.188175
0.286000	0.040531	0.040531
0.288000	0.218723	0.218723
0.290000	0.208540	0.208540
0.292000	0.121990	0.121990
0.294000	-0.096931	-0.096931
0.296000	0.015075	0.015075
0.298000	-0.005290	-0.005290
0.300000	-0.214028	-0.214028
0.302000	-0.142752	-0.142752
0.304000	0.666747	0.666747
0.306000	0.396914	0.396914
0.308000	0.193267	0.193267
0.310000	0.060896	0.060896
0.312000	-0.163116	-0.163116
0.314000	0.244178	0.244178
0.316000	0.152537	0.152537
0.318000	-0.188572	-0.188572
0.320000	-0.366764	-0.366764
0.322000	0.335820	0.335820
0.324000	0.351093	0.351093
0.326000	0.249270	0.249270
0.328000	0.142355	0.142355
0.330000	0.116899	0.116899
0.332000	0.055805	0.055805
0.334000	-0.173299	-0.173299
0.336000	0.142355	0.142355
0.338000	-0.096931	-0.096931
0.340000	0.147446	0.147446
0.342000	-0.091840	-0.091840
0.344000	0.137264	0.137264
0.346000	0.422370	0.422370
0.348000	0.020166	0.020166
0.350000	0.040531	0.040531
0.352000	-0.035837	-0.035837
0.354000	-0.096931	-0.096931
0.356000	0.076169	0.076169
0.358000	0.025257	0.025257
0.360000	0.208540	0.208540
