10/23/2018
7:22:39 PM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	0.208540	0.208540
0.002000	0.198358	0.198358
0.004000	0.152537	0.152537
0.006000	0.071078	0.071078
0.008000	-0.000199	-0.000199
0.010000	-0.035837	-0.035837
0.012000	-0.020563	-0.020563
0.014000	0.009984	0.009984
0.016000	0.071078	0.071078
0.018000	0.162719	0.162719
0.020000	0.208540	0.208540
0.022000	0.193267	0.193267
0.024000	0.142355	0.142355
0.026000	0.071078	0.071078
0.028000	-0.010381	-0.010381
0.030000	-0.035837	-0.035837
0.032000	-0.025654	-0.025654
0.034000	0.020166	0.020166
0.036000	0.116899	0.116899
0.038000	0.193267	0.193267
0.040000	0.203449	0.203449
0.042000	0.193267	0.193267
0.044000	0.142355	0.142355
0.046000	0.040531	0.040531
0.048000	-0.010381	-0.010381
0.050000	-0.066384	-0.066384
0.052000	-0.035837	-0.035837
0.054000	0.025257	0.025257
0.056000	0.111808	0.111808
0.058000	0.172902	0.172902
0.060000	0.218723	0.218723
0.062000	0.198358	0.198358
0.064000	0.142355	0.142355
0.066000	0.071078	0.071078
0.068000	-0.010381	-0.010381
0.070000	-0.030746	-0.030746
0.072000	-0.020563	-0.020563
0.074000	0.035440	0.035440
0.076000	0.101625	0.101625
0.078000	0.167811	0.167811
0.080000	0.233996	0.233996
0.082000	0.198358	0.198358
0.084000	0.137264	0.137264
0.086000	0.045622	0.045622
0.088000	-0.030746	-0.030746
0.090000	-0.061293	-0.061293
0.092000	-0.046019	-0.046019
0.094000	0.020166	0.020166
0.096000	0.086352	0.086352
0.098000	0.172902	0.172902
0.100000	0.203449	0.203449
0.102000	0.188175	0.188175
0.104000	0.152537	0.152537
0.106000	0.076169	0.076169
0.108000	-0.030746	-0.030746
0.110000	-0.061293	-0.061293
0.112000	-0.035837	-0.035837
0.114000	0.015075	0.015075
0.116000	0.116899	0.116899
0.118000	0.172902	0.172902
0.120000	0.193267	0.193267
0.122000	0.167811	0.167811
0.124000	0.127081	0.127081
0.126000	0.025257	0.025257
0.128000	-0.030746	-0.030746
0.130000	-0.056202	-0.056202
0.132000	-0.040928	-0.040928
0.134000	0.015075	0.015075
0.136000	0.081260	0.081260
0.138000	0.172902	0.172902
0.140000	0.198358	0.198358
0.142000	0.183084	0.183084
0.144000	0.132172	0.132172
0.146000	0.035440	0.035440
0.148000	-0.030746	-0.030746
0.150000	-0.046019	-0.046019
0.152000	-0.035837	-0.035837
0.154000	0.030349	0.030349
0.156000	0.121990	0.121990
0.158000	0.177993	0.177993
0.160000	0.208540	0.208540
0.162000	0.177993	0.177993
0.164000	0.137264	0.137264
0.166000	0.045622	0.045622
0.168000	-0.020563	-0.020563
0.170000	-0.040928	-0.040928
0.172000	-0.035837	-0.035837
0.174000	0.020166	0.020166
0.176000	0.101625	0.101625
0.178000	0.172902	0.172902
0.180000	0.198358	0.198358
0.182000	0.172902	0.172902
0.184000	0.137264	0.137264
0.186000	0.050713	0.050713
0.188000	-0.020563	-0.020563
0.190000	-0.066384	-0.066384
0.192000	-0.040928	-0.040928
0.194000	-0.000199	-0.000199
0.196000	0.091443	0.091443
0.198000	0.172902	0.172902
0.200000	0.193267	0.193267
0.202000	0.183084	0.183084
0.204000	0.137264	0.137264
0.206000	0.030349	0.030349
0.208000	-0.035837	-0.035837
0.210000	-0.066384	-0.066384
0.212000	-0.051110	-0.051110
0.214000	-0.000199	-0.000199
0.216000	0.086352	0.086352
0.218000	0.162719	0.162719
0.220000	0.188175	0.188175
0.222000	0.172902	0.172902
0.224000	0.111808	0.111808
0.226000	0.025257	0.025257
0.228000	-0.030746	-0.030746
0.230000	-0.071475	-0.071475
0.232000	-0.056202	-0.056202
0.234000	0.004893	0.004893
0.236000	0.081260	0.081260
0.238000	0.152537	0.152537
0.240000	0.162719	0.162719
0.242000	0.152537	0.152537
0.244000	0.091443	0.091443
0.246000	0.009984	0.009984
0.248000	-0.051110	-0.051110
0.250000	-0.071475	-0.071475
0.252000	-0.035837	-0.035837
0.254000	-0.005290	-0.005290
0.256000	0.065987	0.065987
0.258000	0.147446	0.147446
0.260000	0.177993	0.177993
0.262000	0.157628	0.157628
0.264000	0.101625	0.101625
0.266000	0.009984	0.009984
0.268000	-0.051110	-0.051110
0.270000	-0.086749	-0.086749
0.272000	-0.056202	-0.056202
0.274000	0.004893	0.004893
0.276000	0.096534	0.096534
0.278000	0.167811	0.167811
0.280000	0.188175	0.188175
0.282000	0.177993	0.177993
0.284000	0.132172	0.132172
0.286000	0.030349	0.030349
0.288000	-0.046019	-0.046019
0.290000	-0.061293	-0.061293
0.292000	-0.040928	-0.040928
0.294000	0.004893	0.004893
0.296000	0.106716	0.106716
0.298000	0.183084	0.183084
0.300000	0.208540	0.208540
0.302000	0.203449	0.203449
0.304000	0.142355	0.142355
0.306000	0.040531	0.040531
0.308000	-0.030746	-0.030746
0.310000	-0.076566	-0.076566
0.312000	-0.066384	-0.066384
0.314000	-0.005290	-0.005290
0.316000	0.121990	0.121990
0.318000	0.172902	0.172902
0.320000	0.203449	0.203449
0.322000	0.188175	0.188175
0.324000	0.147446	0.147446
0.326000	0.035440	0.035440
0.328000	-0.030746	-0.030746
0.330000	-0.061293	-0.061293
0.332000	-0.030746	-0.030746
0.334000	0.030349	0.030349
0.336000	0.137264	0.137264
0.338000	0.208540	0.208540
0.340000	0.233996	0.233996
0.342000	0.213631	0.213631
0.344000	0.137264	0.137264
0.346000	0.045622	0.045622
0.348000	-0.040928	-0.040928
0.350000	-0.061293	-0.061293
0.352000	-0.030746	-0.030746
0.354000	0.030349	0.030349
0.356000	0.127081	0.127081
0.358000	0.208540	0.208540
0.360000	0.244178	0.244178
0.362000	0.223814	0.223814
0.364000	0.142355	0.142355
0.366000	0.050713	0.050713
0.368000	-0.025654	-0.025654
0.370000	-0.066384	-0.066384
0.372000	-0.035837	-0.035837
0.374000	0.035440	0.035440
0.376000	0.142355	0.142355
0.378000	0.213631	0.213631
0.380000	0.244178	0.244178
0.382000	0.213631	0.213631
0.384000	0.142355	0.142355
0.386000	0.035440	0.035440
0.388000	-0.040928	-0.040928
0.390000	-0.066384	-0.066384
0.392000	-0.035837	-0.035837
0.394000	0.030349	0.030349
0.396000	0.142355	0.142355
0.398000	0.228905	0.228905
0.400000	0.259452	0.259452
0.402000	0.213631	0.213631
0.404000	0.147446	0.147446
0.406000	0.035440	0.035440
0.408000	-0.046019	-0.046019
0.410000	-0.071475	-0.071475
0.412000	-0.040928	-0.040928
0.414000	0.050713	0.050713
0.416000	0.147446	0.147446
0.418000	0.228905	0.228905
0.420000	0.254361	0.254361
0.422000	0.218723	0.218723
0.424000	0.142355	0.142355
0.426000	0.035440	0.035440
0.428000	-0.030746	-0.030746
0.430000	-0.071475	-0.071475
0.432000	-0.030746	-0.030746
0.434000	0.040531	0.040531
0.436000	0.147446	0.147446
0.438000	0.228905	0.228905
0.440000	0.249270	0.249270
0.442000	0.213631	0.213631
0.444000	0.152537	0.152537
0.446000	0.045622	0.045622
0.448000	-0.066384	-0.066384
0.450000	-0.076566	-0.076566
0.452000	-0.040928	-0.040928
0.454000	0.030349	0.030349
0.456000	0.142355	0.142355
0.458000	0.233996	0.233996
0.460000	0.254361	0.254361
0.462000	0.203449	0.203449
0.464000	0.137264	0.137264
0.466000	0.025257	0.025257
0.468000	-0.071475	-0.071475
0.470000	-0.081657	-0.081657
0.472000	-0.030746	-0.030746
0.474000	0.035440	0.035440
0.476000	0.152537	0.152537
0.478000	0.233996	0.233996
0.480000	0.249270	0.249270
0.482000	0.213631	0.213631
0.484000	0.137264	0.137264
0.486000	0.015075	0.015075
0.488000	-0.061293	-0.061293
0.490000	-0.081657	-0.081657
0.492000	-0.040928	-0.040928
0.494000	0.045622	0.045622
0.496000	0.152537	0.152537
0.498000	0.233996	0.233996
0.500000	0.259452	0.259452
0.502000	0.218723	0.218723
0.504000	0.142355	0.142355
0.506000	0.015075	0.015075
0.508000	-0.061293	-0.061293
0.510000	-0.081657	-0.081657
0.512000	-0.040928	-0.040928
0.514000	0.040531	0.040531
0.516000	0.162719	0.162719
0.518000	0.233996	0.233996
0.520000	0.249270	0.249270
0.522000	0.208540	0.208540
0.524000	0.132172	0.132172
0.526000	-0.000199	-0.000199
0.528000	-0.076566	-0.076566
0.530000	-0.081657	-0.081657
0.532000	-0.040928	-0.040928
0.534000	0.045622	0.045622
0.536000	0.157628	0.157628
0.538000	0.239087	0.239087
0.540000	0.269634	0.269634
0.542000	0.223814	0.223814
0.544000	0.137264	0.137264
0.546000	0.004893	0.004893
0.548000	-0.061293	-0.061293
0.550000	-0.086749	-0.086749
0.552000	-0.030746	-0.030746
0.554000	0.055805	0.055805
0.556000	0.167811	0.167811
0.558000	0.254361	0.254361
0.560000	0.244178	0.244178
0.562000	0.198358	0.198358
0.564000	0.132172	0.132172
0.566000	-0.000199	-0.000199
0.568000	-0.071475	-0.071475
0.570000	-0.081657	-0.081657
0.572000	-0.015472	-0.015472
0.574000	0.071078	0.071078
0.576000	0.167811	0.167811
0.578000	0.254361	0.254361
0.580000	0.244178	0.244178
0.582000	0.198358	0.198358
0.584000	0.116899	0.116899
0.586000	-0.005290	-0.005290
0.588000	-0.066384	-0.066384
0.590000	-0.066384	-0.066384
0.592000	-0.025654	-0.025654
0.594000	0.065987	0.065987
0.596000	0.167811	0.167811
0.598000	0.244178	0.244178
0.600000	0.259452	0.259452
0.602000	0.193267	0.193267
0.604000	0.106716	0.106716
0.606000	-0.005290	-0.005290
0.608000	-0.066384	-0.066384
0.610000	-0.061293	-0.061293
0.612000	-0.020563	-0.020563
0.614000	0.065987	0.065987
0.616000	0.183084	0.183084
0.618000	0.244178	0.244178
0.620000	0.254361	0.254361
0.622000	0.188175	0.188175
0.624000	0.101625	0.101625
0.626000	-0.010381	-0.010381
0.628000	-0.061293	-0.061293
0.630000	-0.056202	-0.056202
0.632000	-0.020563	-0.020563
0.634000	0.060896	0.060896
0.636000	0.188175	0.188175
0.638000	0.249270	0.249270
0.640000	0.233996	0.233996
0.642000	0.177993	0.177993
0.644000	0.086352	0.086352
0.646000	-0.020563	-0.020563
0.648000	-0.071475	-0.071475
0.650000	-0.071475	-0.071475
0.652000	-0.015472	-0.015472
0.654000	0.086352	0.086352
0.656000	0.183084	0.183084
0.658000	0.233996	0.233996
0.660000	0.233996	0.233996
0.662000	0.177993	0.177993
0.664000	0.076169	0.076169
0.666000	-0.025654	-0.025654
0.668000	-0.076566	-0.076566
0.670000	-0.076566	-0.076566
0.672000	-0.020563	-0.020563
0.674000	0.071078	0.071078
0.676000	0.177993	0.177993
0.678000	0.244178	0.244178
0.680000	0.223814	0.223814
0.682000	0.183084	0.183084
0.684000	0.076169	0.076169
0.686000	-0.040928	-0.040928
0.688000	-0.086749	-0.086749
0.690000	-0.091840	-0.091840
0.692000	-0.030746	-0.030746
0.694000	0.091443	0.091443
0.696000	0.183084	0.183084
0.698000	0.254361	0.254361
0.700000	0.239087	0.239087
0.702000	0.177993	0.177993
0.704000	0.071078	0.071078
0.706000	-0.035837	-0.035837
0.708000	-0.091840	-0.091840
0.710000	-0.091840	-0.091840
0.712000	-0.020563	-0.020563
0.714000	0.065987	0.065987
0.716000	0.193267	0.193267
0.718000	0.254361	0.254361
0.720000	0.254361	0.254361
0.722000	0.177993	0.177993
0.724000	0.071078	0.071078
0.726000	-0.046019	-0.046019
0.728000	-0.096931	-0.096931
0.730000	-0.081657	-0.081657
0.732000	-0.025654	-0.025654
0.734000	0.060896	0.060896
0.736000	0.193267	0.193267
0.738000	0.254361	0.254361
0.740000	0.249270	0.249270
0.742000	0.183084	0.183084
0.744000	0.065987	0.065987
0.746000	-0.035837	-0.035837
0.748000	-0.091840	-0.091840
0.750000	-0.086749	-0.086749
0.752000	-0.030746	-0.030746
0.754000	0.086352	0.086352
0.756000	0.213631	0.213631
0.758000	0.254361	0.254361
0.760000	0.254361	0.254361
0.762000	0.193267	0.193267
0.764000	0.076169	0.076169
0.766000	-0.035837	-0.035837
0.768000	-0.096931	-0.096931
0.770000	-0.091840	-0.091840
0.772000	-0.030746	-0.030746
0.774000	0.091443	0.091443
0.776000	0.208540	0.208540
0.778000	0.269634	0.269634
0.780000	0.254361	0.254361
0.782000	0.188175	0.188175
0.784000	0.065987	0.065987
0.786000	-0.040928	-0.040928
0.788000	-0.107113	-0.107113
0.790000	-0.076566	-0.076566
0.792000	-0.015472	-0.015472
0.794000	0.096534	0.096534
0.796000	0.203449	0.203449
0.798000	0.259452	0.259452
0.800000	0.254361	0.254361
0.802000	0.183084	0.183084
0.804000	0.065987	0.065987
0.806000	-0.046019	-0.046019
0.808000	-0.081657	-0.081657
0.810000	-0.081657	-0.081657
0.812000	-0.010381	-0.010381
0.814000	0.127081	0.127081
0.816000	0.213631	0.213631
0.818000	0.269634	0.269634
0.820000	0.249270	0.249270
0.822000	0.177993	0.177993
0.824000	0.050713	0.050713
0.826000	-0.046019	-0.046019
0.828000	-0.091840	-0.091840
0.830000	-0.081657	-0.081657
0.832000	0.004893	0.004893
0.834000	0.132172	0.132172
0.836000	0.218723	0.218723
0.838000	0.264543	0.264543
0.840000	0.244178	0.244178
0.842000	0.177993	0.177993
0.844000	0.045622	0.045622
0.846000	-0.051110	-0.051110
0.848000	-0.096931	-0.096931
0.850000	-0.076566	-0.076566
0.852000	-0.010381	-0.010381
0.854000	0.127081	0.127081
0.856000	0.213631	0.213631
0.858000	0.269634	0.269634
0.860000	0.244178	0.244178
0.862000	0.157628	0.157628
0.864000	0.045622	0.045622
0.866000	-0.051110	-0.051110
0.868000	-0.086749	-0.086749
0.870000	-0.066384	-0.066384
0.872000	0.015075	0.015075
0.874000	0.137264	0.137264
0.876000	0.218723	0.218723
0.878000	0.269634	0.269634
0.880000	0.233996	0.233996
0.882000	0.157628	0.157628
0.884000	0.040531	0.040531
0.886000	-0.051110	-0.051110
0.888000	-0.076566	-0.076566
0.890000	-0.056202	-0.056202
0.892000	0.015075	0.015075
0.894000	0.132172	0.132172
0.896000	0.218723	0.218723
0.898000	0.249270	0.249270
0.900000	0.213631	0.213631
0.902000	0.142355	0.142355
0.904000	0.030349	0.030349
0.906000	-0.046019	-0.046019
0.908000	-0.046019	-0.046019
0.910000	-0.040928	-0.040928
0.912000	0.030349	0.030349
0.914000	0.137264	0.137264
0.916000	0.218723	0.218723
0.918000	0.233996	0.233996
0.920000	0.193267	0.193267
0.922000	0.137264	0.137264
0.924000	0.035440	0.035440
0.926000	-0.035837	-0.035837
0.928000	-0.046019	-0.046019
0.930000	-0.025654	-0.025654
0.932000	0.030349	0.030349
0.934000	0.142355	0.142355
0.936000	0.203449	0.203449
0.938000	0.233996	0.233996
0.940000	0.188175	0.188175
0.942000	0.127081	0.127081
0.944000	0.020166	0.020166
0.946000	-0.040928	-0.040928
0.948000	-0.071475	-0.071475
0.950000	-0.030746	-0.030746
0.952000	0.020166	0.020166
0.954000	0.132172	0.132172
0.956000	0.208540	0.208540
0.958000	0.228905	0.228905
0.960000	0.203449	0.203449
0.962000	0.121990	0.121990
0.964000	0.020166	0.020166
0.966000	-0.061293	-0.061293
0.968000	-0.081657	-0.081657
0.970000	-0.051110	-0.051110
0.972000	0.030349	0.030349
0.974000	0.142355	0.142355
0.976000	0.223814	0.223814
0.978000	0.249270	0.249270
0.980000	0.203449	0.203449
0.982000	0.116899	0.116899
0.984000	0.004893	0.004893
0.986000	-0.071475	-0.071475
0.988000	-0.096931	-0.096931
0.990000	-0.056202	-0.056202
0.992000	0.025257	0.025257
0.994000	0.137264	0.137264
0.996000	0.218723	0.218723
0.998000	0.249270	0.249270
1.000000	0.218723	0.218723
1.002000	0.132172	0.132172
1.004000	0.015075	0.015075
1.006000	-0.076566	-0.076566
1.008000	-0.091840	-0.091840
1.010000	-0.056202	-0.056202
1.012000	0.040531	0.040531
1.014000	0.157628	0.157628
1.016000	0.228905	0.228905
1.018000	0.249270	0.249270
1.020000	0.213631	0.213631
1.022000	0.127081	0.127081
1.024000	-0.000199	-0.000199
