11/13/2018
7:34:50 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	0.757584	1.639603	0.913742	1.232495	0.757584	1.639603	0.913742	1.232495
0.010000	0.762657	1.619318	0.984743	0.968921	0.762657	1.619318	0.984743	0.968921
0.020000	0.757584	1.619318	1.086175	0.877684	0.757584	1.619318	1.086175	0.877684
0.030000	0.762657	1.619318	1.025316	0.816859	0.762657	1.619318	1.025316	0.816859
0.040000	0.762657	1.619318	0.776809	0.867546	0.762657	1.619318	0.776809	0.867546
0.050000	0.767730	1.634532	0.939099	1.115914	0.767730	1.634532	0.939099	1.115914
0.060000	0.767730	1.629461	0.776809	1.126051	0.767730	1.629461	0.776809	1.126051
0.070000	0.782949	1.644675	0.639877	1.354144	0.782949	1.644675	0.639877	1.354144
0.080000	0.782949	1.649746	1.050674	1.561962	0.782949	1.649746	1.050674	1.561962
0.090000	0.777876	1.649746	0.847811	1.506206	0.777876	1.649746	0.847811	1.506206
0.100000	0.777876	1.649746	0.822453	1.612649	0.777876	1.649746	0.822453	1.612649
0.110000	0.777876	1.649746	0.934028	1.577168	0.777876	1.649746	0.934028	1.577168
0.120000	0.777876	1.634532	0.903598	1.293319	0.777876	1.634532	0.903598	1.293319
0.130000	0.772803	1.634532	0.797096	1.176739	0.772803	1.634532	0.797096	1.176739
0.140000	0.772803	1.644675	0.797096	1.288251	0.772803	1.644675	0.797096	1.288251
0.150000	0.782949	1.649746	1.005030	1.374419	0.782949	1.649746	1.005030	1.374419
0.160000	0.788022	1.664960	1.212964	1.739367	0.788022	1.664960	1.212964	1.739367
0.170000	0.777876	1.649746	1.030387	1.551824	0.777876	1.649746	1.030387	1.551824
0.180000	0.782949	1.654818	1.015173	1.607580	0.782949	1.654818	1.015173	1.607580
0.190000	0.782949	1.649746	0.984743	1.455519	0.782949	1.649746	0.984743	1.455519
0.200000	0.777876	1.654818	0.999958	1.551824	0.777876	1.654818	0.999958	1.551824
0.210000	0.777876	1.644675	0.984743	1.328800	0.777876	1.644675	0.984743	1.328800
0.220000	0.782949	1.649746	1.015173	1.323732	0.782949	1.649746	1.015173	1.323732
0.230000	0.782949	1.670032	1.050674	1.698817	0.782949	1.670032	1.050674	1.698817
0.240000	0.788022	1.659889	1.314395	1.698817	0.788022	1.659889	1.314395	1.698817
0.250000	0.793095	1.654818	1.360039	1.435244	0.793095	1.654818	1.360039	1.435244
0.260000	0.782949	1.659889	1.441184	1.491000	0.782949	1.659889	1.441184	1.491000
0.270000	0.782949	1.654818	1.360039	1.359213	0.782949	1.654818	1.360039	1.359213
0.280000	0.788022	1.654818	1.111532	1.394694	0.788022	1.654818	1.111532	1.394694
0.290000	0.782949	1.670032	1.228178	1.567031	0.782949	1.670032	1.228178	1.567031
0.300000	0.782949	1.670032	1.121676	1.632924	0.782949	1.670032	1.121676	1.632924
0.310000	0.788022	1.680175	0.994887	1.911704	0.788022	1.680175	0.994887	1.911704
0.320000	0.788022	1.685246	1.354967	1.982666	0.788022	1.685246	1.354967	1.982666
0.330000	0.798168	1.680175	1.141962	1.825536	0.798168	1.680175	1.141962	1.825536
0.340000	0.788022	1.680175	1.070960	1.795123	0.788022	1.680175	1.070960	1.795123
0.350000	0.782949	1.670032	1.070960	1.460587	0.782949	1.670032	1.070960	1.460587
0.360000	0.782949	1.644675	0.705808	0.786447	0.782949	1.644675	0.705808	0.786447
0.370000	0.777876	1.629461	0.213866	0.137650	0.777876	1.629461	0.213866	0.137650
0.380000	0.762657	1.624389	-0.141143	-0.303330	0.762657	1.624389	-0.141143	-0.303330
0.390000	0.757584	1.629461	-0.207074	-0.495941	0.757584	1.629461	-0.207074	-0.495941
0.400000	0.732219	1.619318	-0.480938	-0.774721	0.732219	1.619318	-0.480938	-0.774721
0.410000	0.742365	1.609175	-0.962736	-1.159945	0.742365	1.609175	-0.962736	-1.159945
0.420000	0.747438	1.599032	-1.206171	-1.474206	0.747438	1.599032	-1.206171	-1.474206
0.430000	0.717000	1.578746	-1.429320	-2.219308	0.717000	1.578746	-1.429320	-2.219308
0.440000	0.717000	1.588889	-1.581467	-2.072315	0.717000	1.588889	-1.581467	-2.072315
0.450000	0.717000	1.568604	-1.551037	-2.518363	0.717000	1.568604	-1.551037	-2.518363
0.460000	0.706854	1.563532	-1.606825	-2.670425	0.706854	1.563532	-1.606825	-2.670425
0.470000	0.706854	1.578746	-1.500322	-2.264927	0.706854	1.578746	-1.500322	-2.264927
0.480000	0.711927	1.558461	-1.414105	-2.518363	0.711927	1.558461	-1.414105	-2.518363
0.490000	0.711927	1.563532	-1.358318	-2.528501	0.711927	1.563532	-1.358318	-2.528501
0.500000	0.727146	1.573675	-1.267030	-2.163552	0.727146	1.573675	-1.267030	-2.163552
0.510000	0.722073	1.563532	-1.272102	-2.259858	0.722073	1.563532	-1.272102	-2.259858
0.520000	0.722073	1.563532	-1.353247	-2.178759	0.722073	1.563532	-1.353247	-2.178759
0.530000	0.727146	1.563532	-1.327889	-2.072315	0.727146	1.563532	-1.327889	-2.072315
0.540000	0.732219	1.578746	-1.282245	-1.671886	0.732219	1.578746	-1.282245	-1.671886
0.550000	0.706854	1.583818	-1.170670	-1.342419	0.706854	1.583818	-1.170670	-1.342419
0.560000	0.722073	1.573675	-0.856234	-1.408312	0.722073	1.573675	-0.856234	-1.408312
0.570000	0.711927	1.573675	-0.927235	-1.464068	0.711927	1.573675	-0.927235	-1.464068
0.580000	0.711927	1.578746	-0.866377	-1.317075	0.711927	1.578746	-0.866377	-1.317075
0.590000	0.737292	1.578746	-0.841019	-1.261319	0.737292	1.578746	-0.841019	-1.261319
0.600000	0.717000	1.573675	-0.770017	-1.225838	0.717000	1.573675	-0.770017	-1.225838
0.610000	0.711927	1.573675	-0.830876	-1.291731	0.711927	1.573675	-0.830876	-1.291731
0.620000	0.722073	1.578746	-0.820733	-1.058570	0.722073	1.578746	-0.820733	-1.058570
0.630000	0.711927	1.599032	-0.506296	-0.703759	0.711927	1.599032	-0.506296	-0.703759
0.640000	0.711927	1.593961	-0.496153	-0.541560	0.711927	1.593961	-0.496153	-0.541560
0.650000	0.727146	1.593961	-0.648299	-0.531422	0.727146	1.593961	-0.648299	-0.531422
0.660000	0.717000	1.604104	-0.572226	-0.480735	0.717000	1.604104	-0.572226	-0.480735
0.670000	0.732219	1.573675	-0.628013	-1.007883	0.732219	1.573675	-0.628013	-1.007883
0.680000	0.742365	1.593961	-0.663514	-0.713897	0.742365	1.593961	-0.663514	-0.713897
0.690000	0.742365	1.573675	-0.475866	-1.063639	0.742365	1.573675	-0.475866	-1.063639
0.700000	0.737292	1.573675	-0.511367	-1.104189	0.737292	1.573675	-0.511367	-1.104189
0.710000	0.737292	1.593961	-0.389650	-0.739240	0.737292	1.593961	-0.389650	-0.739240
0.720000	0.711927	1.573675	-0.384578	-0.936921	0.711927	1.573675	-0.384578	-0.936921
0.730000	0.732219	1.568604	-0.384578	-1.043364	0.732219	1.568604	-0.384578	-1.043364
0.740000	0.706854	1.588889	-0.344006	-0.678415	0.706854	1.588889	-0.344006	-0.678415
0.750000	0.706854	1.573675	-0.359220	-0.982539	0.706854	1.573675	-0.359220	-0.982539
0.760000	0.737292	1.568604	-0.480938	-0.967333	0.737292	1.568604	-0.480938	-0.967333
0.770000	0.722073	1.568604	-0.496153	-1.063639	0.722073	1.568604	-0.496153	-1.063639
0.780000	0.711927	1.593961	-0.445437	-0.460460	0.711927	1.593961	-0.445437	-0.460460
0.790000	0.717000	1.588889	-0.222288	-0.384429	0.717000	1.588889	-0.222288	-0.384429
0.800000	0.711927	1.578746	-0.065070	-0.587178	0.711927	1.578746	-0.065070	-0.587178
0.810000	0.711927	1.568604	-0.039712	-0.744309	0.711927	1.568604	-0.039712	-0.744309
0.820000	0.727146	1.578746	-0.070141	-0.607453	0.727146	1.578746	-0.070141	-0.607453
0.830000	0.717000	1.568604	-0.166501	-0.637866	0.717000	1.568604	-0.166501	-0.637866
0.840000	0.732219	1.543247	-0.049855	-0.181680	0.732219	1.543247	-0.049855	-0.181680
0.850000	0.757584	1.512818	-0.156358	-0.277986	0.757584	1.512818	-0.156358	-0.277986
0.860000	0.752511	1.522961	-0.095499	0.137650	0.752511	1.522961	-0.095499	0.137650
0.870000	0.747438	1.517890	0.132721	0.330261	0.747438	1.517890	0.132721	0.330261
0.880000	0.747438	1.512818	0.051576	0.467117	0.747438	1.512818	0.051576	0.467117
0.890000	0.732219	1.507747	0.036361	0.517804	0.732219	1.507747	0.036361	0.517804
0.900000	0.747438	1.507747	0.183437	0.644522	0.747438	1.507747	0.183437	0.644522
0.910000	0.737292	1.497604	0.147936	0.244093	0.737292	1.497604	0.147936	0.244093
0.920000	0.727146	1.512818	0.158079	0.355605	0.727146	1.512818	0.158079	0.355605
0.930000	0.767730	1.497604	0.279796	0.315055	0.767730	1.497604	0.279796	0.315055
0.940000	0.752511	1.512818	0.452229	0.482323	0.752511	1.512818	0.452229	0.482323
0.950000	0.737292	1.528032	0.533374	0.811790	0.737292	1.528032	0.533374	0.811790
0.960000	0.737292	1.568604	0.472516	0.806721	0.737292	1.568604	0.472516	0.806721
0.970000	0.732219	1.599032	0.462373	0.695210	0.732219	1.599032	0.462373	0.695210
0.980000	0.737292	1.604104	0.502945	0.781378	0.737292	1.604104	0.502945	0.781378
0.990000	0.747438	1.593961	0.477587	0.680003	0.747438	1.593961	0.477587	0.680003
1.000000	0.732219	1.614246	0.472516	0.588766	0.732219	1.614246	0.472516	0.588766
1.010000	0.742365	1.593961	0.482659	0.487392	0.742365	1.593961	0.482659	0.487392
1.020000	0.762657	1.593961	0.599305	0.999333	0.762657	1.593961	0.599305	0.999333
1.030000	0.767730	1.624389	0.761595	0.948646	0.767730	1.624389	0.761595	0.948646
1.040000	0.762657	1.609175	0.842740	0.781378	0.762657	1.609175	0.842740	0.781378
1.050000	0.762657	1.609175	0.857954	0.700278	0.762657	1.609175	0.857954	0.700278
1.060000	0.727146	1.609175	0.736237	0.710416	0.727146	1.609175	0.736237	0.710416
1.070000	0.757584	1.609175	0.629734	0.624247	0.757584	1.609175	0.629734	0.624247
1.080000	0.727146	1.614246	0.660163	0.923302	0.727146	1.614246	0.660163	0.923302
1.090000	0.727146	1.619318	0.508017	0.796584	0.727146	1.619318	0.508017	0.796584
1.100000	0.767730	1.614246	0.584090	1.176739	0.767730	1.614246	0.584090	1.176739
1.110000	0.727146	1.624389	0.680450	1.156464	0.727146	1.624389	0.680450	1.156464
1.120000	0.732219	1.634532	0.568875	1.166601	0.732219	1.634532	0.568875	1.166601
1.130000	0.762657	1.639603	0.614519	1.232495	0.762657	1.639603	0.614519	1.232495
1.140000	0.742365	1.634532	0.695664	1.237563	0.742365	1.634532	0.695664	1.237563
1.150000	0.732219	1.639603	0.584090	0.892890	0.732219	1.639603	0.584090	0.892890
1.160000	0.737292	1.624389	0.508017	0.882752	0.737292	1.624389	0.508017	0.882752
1.170000	0.777876	1.639603	0.665235	0.908096	0.777876	1.639603	0.665235	0.908096
1.180000	0.772803	1.624389	0.868097	1.252769	0.772803	1.624389	0.868097	1.252769
1.190000	0.752511	1.624389	0.812310	1.379488	0.752511	1.624389	0.812310	1.379488
1.200000	0.737292	1.649746	0.639877	1.470725	0.737292	1.649746	0.639877	1.470725
1.210000	0.747438	1.639603	0.604376	1.435244	0.747438	1.639603	0.604376	1.435244
1.220000	0.747438	1.629461	0.609448	1.171670	0.747438	1.629461	0.609448	1.171670
1.230000	0.772803	1.639603	0.690593	1.338938	0.772803	1.639603	0.690593	1.338938
1.240000	0.752511	1.634532	0.786952	1.156464	0.752511	1.634532	0.786952	1.156464
1.250000	0.772803	1.644675	0.868097	1.014539	0.772803	1.644675	0.868097	1.014539
1.260000	0.782949	1.644675	1.020244	1.480862	0.782949	1.644675	1.020244	1.480862
1.270000	0.782949	1.639603	1.121676	1.273044	0.782949	1.639603	1.121676	1.273044
1.280000	0.782949	1.644675	1.177463	1.212220	0.782949	1.644675	1.177463	1.212220
1.290000	0.782949	1.664960	1.197749	1.328800	0.782949	1.664960	1.197749	1.328800
1.300000	0.762657	1.670032	1.015173	1.338938	0.762657	1.670032	1.015173	1.338938
1.310000	0.782949	1.664960	0.934028	1.227426	0.782949	1.664960	0.934028	1.227426
1.320000	0.767730	1.659889	0.923885	1.328800	0.767730	1.659889	0.923885	1.328800
1.330000	0.772803	1.659889	0.883312	1.404831	0.772803	1.659889	0.883312	1.404831
1.340000	0.782949	1.659889	1.030387	1.744436	0.782949	1.659889	1.030387	1.744436
1.350000	0.777876	1.654818	1.091246	1.572099	0.777876	1.654818	1.091246	1.572099
1.360000	0.777876	1.654818	0.984743	1.521412	0.777876	1.654818	0.984743	1.521412
1.370000	0.782949	1.675103	0.984743	1.577168	0.782949	1.675103	0.984743	1.577168
1.380000	0.777876	1.670032	0.994887	1.582237	0.777876	1.670032	0.994887	1.582237
1.390000	0.777876	1.664960	0.898527	1.440312	0.777876	1.664960	0.898527	1.440312
1.400000	0.777876	1.659889	0.802167	1.455519	0.777876	1.659889	0.802167	1.455519
1.410000	0.793095	1.670032	1.035459	1.460587	0.793095	1.670032	1.035459	1.460587
1.420000	0.782949	1.670032	1.157177	1.795123	0.782949	1.670032	1.157177	1.795123
1.430000	0.777876	1.670032	1.040531	1.855948	0.777876	1.670032	1.040531	1.855948
1.440000	0.782949	1.670032	0.898527	1.952254	0.782949	1.670032	0.898527	1.952254
1.450000	0.782949	1.670032	0.847811	1.845810	0.782949	1.670032	0.847811	1.845810
1.460000	0.777876	1.675103	0.736237	1.374419	0.777876	1.675103	0.736237	1.374419
1.470000	0.782949	1.680175	0.705808	1.308525	0.782949	1.680175	0.705808	1.308525
1.480000	0.767730	1.649746	0.482659	0.654660	0.767730	1.649746	0.482659	0.654660
1.490000	0.777876	1.639603	0.315297	-0.014412	0.777876	1.639603	0.315297	-0.014412
1.500000	0.767730	1.634532	0.051576	-0.181680	0.767730	1.634532	0.051576	-0.181680
1.510000	0.762657	1.614246	-0.267932	-0.876096	0.762657	1.614246	-0.267932	-0.876096
1.520000	0.747438	1.588889	-0.557011	-1.362694	0.747438	1.588889	-0.557011	-1.362694
1.530000	0.747438	1.593961	-0.805518	-1.494480	0.747438	1.593961	-0.805518	-1.494480
1.540000	0.711927	1.599032	-1.226458	-1.884772	0.711927	1.599032	-1.226458	-1.884772
1.550000	0.706854	1.599032	-1.490179	-2.224377	0.706854	1.599032	-1.490179	-2.224377
1.560000	0.701781	1.588889	-1.611896	-2.396714	0.701781	1.588889	-1.611896	-2.396714
1.570000	0.722073	1.583818	-1.515537	-2.112865	0.722073	1.583818	-1.515537	-2.112865
1.580000	0.722073	1.583818	-1.403962	-2.052040	0.722073	1.583818	-1.403962	-2.052040
1.590000	0.727146	1.588889	-1.353247	-2.290271	0.727146	1.588889	-1.353247	-2.290271
1.600000	0.711927	1.573675	-1.373533	-2.330820	0.711927	1.573675	-1.373533	-2.330820
1.610000	0.706854	1.583818	-1.495250	-2.163552	0.706854	1.583818	-1.495250	-2.163552
1.620000	0.717000	1.578746	-1.403962	-2.097659	0.717000	1.578746	-1.403962	-2.097659
1.630000	0.706854	1.588889	-1.393819	-1.783398	0.706854	1.588889	-1.393819	-1.783398
1.640000	0.701781	1.604104	-1.444535	-1.692161	0.701781	1.604104	-1.444535	-1.692161
1.650000	0.742365	1.583818	-1.109812	-1.398175	0.742365	1.583818	-1.109812	-1.398175
1.660000	0.706854	1.588889	-1.064168	-1.099120	0.706854	1.588889	-1.064168	-1.099120
1.670000	0.706854	1.599032	-1.089525	-0.962264	0.706854	1.599032	-1.089525	-0.962264
1.680000	0.717000	1.588889	-1.013452	-0.800065	0.717000	1.588889	-1.013452	-0.800065
1.690000	0.711927	1.588889	-0.962736	-0.744309	0.711927	1.588889	-0.962736	-0.744309
1.700000	0.711927	1.593961	-0.972879	-1.018020	0.711927	1.593961	-0.972879	-1.018020
1.710000	0.717000	1.599032	-0.830876	-0.759515	0.717000	1.599032	-0.830876	-0.759515
1.720000	0.722073	1.614246	-0.699015	-0.800065	0.722073	1.614246	-0.699015	-0.800065
1.730000	0.747438	1.609175	-0.440365	-0.713897	0.747438	1.609175	-0.440365	-0.713897
1.740000	0.727146	1.609175	-0.389650	-0.313467	0.727146	1.609175	-0.389650	-0.313467
1.750000	0.727146	1.624389	-0.394721	-0.440185	0.727146	1.624389	-0.394721	-0.440185
1.760000	0.727146	1.609175	-0.374435	-0.495941	0.727146	1.609175	-0.374435	-0.495941
1.770000	0.727146	1.599032	-0.333863	-0.389498	0.727146	1.599032	-0.333863	-0.389498
1.780000	0.717000	1.599032	-0.501224	-0.460460	0.717000	1.599032	-0.501224	-0.460460
1.790000	0.717000	1.593961	-0.587441	-0.607453	0.717000	1.593961	-0.587441	-0.607453
1.800000	0.722073	1.593961	-0.557011	-0.668278	0.722073	1.593961	-0.557011	-0.668278
1.810000	0.742365	1.619318	-0.323720	-0.323605	0.742365	1.619318	-0.323720	-0.323605
1.820000	0.737292	1.588889	-0.207074	-0.338811	0.737292	1.588889	-0.207074	-0.338811
1.830000	0.742365	1.593961	-0.156358	-0.561835	0.742365	1.593961	-0.156358	-0.561835
1.840000	0.737292	1.599032	-0.171573	-0.653072	0.737292	1.599032	-0.171573	-0.653072
1.850000	0.717000	1.593961	-0.480938	-0.622659	0.717000	1.593961	-0.480938	-0.622659
1.860000	0.732219	1.583818	-0.379507	-0.668278	0.732219	1.583818	-0.379507	-0.668278
1.870000	0.711927	1.599032	-0.496153	-0.419910	0.711927	1.599032	-0.496153	-0.419910
1.880000	0.711927	1.593961	-0.648299	-0.440185	0.711927	1.593961	-0.648299	-0.440185
1.890000	0.747438	1.614246	-0.318648	-0.161405	0.747438	1.614246	-0.318648	-0.161405
1.900000	0.706854	1.614246	-0.450509	-0.085374	0.706854	1.614246	-0.450509	-0.085374
1.910000	0.722073	1.619318	-0.465723	0.021069	0.722073	1.619318	-0.465723	0.021069
1.920000	0.737292	1.614246	-0.252718	0.102168	0.737292	1.614246	-0.252718	0.102168
1.930000	0.722073	1.624389	-0.288219	0.137650	0.722073	1.624389	-0.288219	0.137650
1.940000	0.711927	1.599032	-0.389650	-0.080306	0.711927	1.599032	-0.389650	-0.080306
1.950000	0.717000	1.614246	-0.364292	-0.004275	0.717000	1.614246	-0.364292	-0.004275
1.960000	0.747438	1.604104	-0.049855	0.051481	0.747438	1.604104	-0.049855	0.051481
1.970000	0.752511	1.609175	0.198651	0.299849	0.752511	1.609175	0.198651	0.299849
1.980000	0.727146	1.634532	0.026218	0.578629	0.727146	1.634532	0.026218	0.578629
1.990000	0.732219	1.624389	-0.044784	0.634385	0.732219	1.624389	-0.044784	0.634385
2.000000	0.727146	1.624389	-0.049855	0.649591	0.727146	1.624389	-0.049855	0.649591
2.010000	0.732219	1.624389	0.036361	0.568491	0.732219	1.624389	0.036361	0.568491
2.020000	0.742365	1.619318	0.132721	0.690141	0.742365	1.619318	0.132721	0.690141
2.030000	0.737292	1.619318	0.173294	0.598904	0.737292	1.619318	0.173294	0.598904
2.040000	0.752511	1.634532	0.305154	0.527942	0.752511	1.634532	0.305154	0.527942
2.050000	0.777876	1.629461	0.634806	0.963852	0.777876	1.629461	0.634806	0.963852
2.060000	0.772803	1.634532	0.690593	0.862477	0.772803	1.634532	0.690593	0.862477
2.070000	0.777876	1.649746	0.792024	0.806721	0.777876	1.649746	0.792024	0.806721
2.080000	0.772803	1.644675	0.776809	0.913165	0.772803	1.644675	0.776809	0.913165
2.090000	0.747438	1.649746	0.457301	0.903027	0.747438	1.649746	0.457301	0.903027
2.100000	0.767730	1.649746	0.497873	0.801653	0.767730	1.649746	0.497873	0.801653
2.110000	0.762657	1.634532	0.452229	0.948646	0.762657	1.634532	0.452229	0.948646
2.120000	0.757584	1.644675	0.345727	0.984127	0.757584	1.644675	0.345727	0.984127
2.130000	0.782949	1.634532	0.715951	1.212220	0.782949	1.634532	0.715951	1.212220
2.140000	0.757584	1.634532	0.492802	1.146326	0.757584	1.634532	0.492802	1.146326
2.150000	0.767730	1.654818	0.487730	1.166601	0.767730	1.654818	0.487730	1.166601
2.160000	0.772803	1.644675	0.599305	1.181807	0.772803	1.644675	0.599305	1.181807
2.170000	0.767730	1.639603	0.518160	1.202082	0.767730	1.639603	0.518160	1.202082
2.180000	0.747438	1.644675	0.330512	1.019608	0.747438	1.644675	0.330512	1.019608
2.190000	0.762657	1.644675	0.310226	1.029745	0.762657	1.644675	0.310226	1.029745
2.200000	0.782949	1.644675	0.695664	1.024677	0.782949	1.644675	0.695664	1.024677
2.210000	0.782949	1.649746	0.797096	1.262907	0.782949	1.649746	0.797096	1.262907
2.220000	0.767730	1.639603	0.528303	1.338938	0.767730	1.639603	0.528303	1.338938
2.230000	0.767730	1.654818	0.437015	1.425106	0.767730	1.654818	0.437015	1.425106
2.240000	0.767730	1.670032	0.330512	1.374419	0.767730	1.670032	0.330512	1.374419
2.250000	0.767730	1.670032	0.360941	1.181807	0.767730	1.670032	0.360941	1.181807
2.260000	0.782949	1.664960	0.639877	1.344007	0.782949	1.664960	0.639877	1.344007
2.270000	0.777876	1.670032	0.589162	1.161532	0.777876	1.670032	0.589162	1.161532
2.280000	0.782949	1.654818	0.842740	1.055089	0.782949	1.654818	0.842740	1.055089
2.290000	0.788022	1.664960	0.999958	1.430175	0.788022	1.664960	0.999958	1.430175
2.300000	0.782949	1.649746	0.944171	1.222357	0.782949	1.649746	0.944171	1.222357
2.310000	0.782949	1.654818	0.994887	1.202082	0.782949	1.654818	0.994887	1.202082
2.320000	0.788022	1.670032	0.974600	1.430175	0.788022	1.670032	0.974600	1.430175
2.330000	0.782949	1.675103	0.639877	1.328800	0.782949	1.675103	0.639877	1.328800
2.340000	0.777876	1.664960	0.538446	1.222357	0.777876	1.664960	0.538446	1.222357
2.350000	0.782949	1.670032	0.594233	1.257838	0.782949	1.670032	0.594233	1.257838
2.360000	0.782949	1.664960	0.721022	1.445381	0.782949	1.664960	0.721022	1.445381
2.370000	0.793095	1.675103	1.035459	1.592374	0.793095	1.675103	1.035459	1.592374
2.380000	0.782949	1.670032	0.888384	1.414969	0.782949	1.670032	0.888384	1.414969
2.390000	0.788022	1.670032	0.873169	1.389625	0.788022	1.670032	0.873169	1.389625
2.400000	0.782949	1.670032	0.700736	1.389625	0.782949	1.670032	0.700736	1.389625
2.410000	0.782949	1.690318	0.812310	1.420037	0.782949	1.690318	0.812310	1.420037
2.420000	0.782949	1.700460	0.609448	1.491000	0.782949	1.700460	0.609448	1.491000
2.430000	0.782949	1.690318	0.533374	1.506206	0.782949	1.690318	0.533374	1.506206
2.440000	0.798168	1.685246	0.969529	1.531549	0.798168	1.685246	0.969529	1.531549
2.450000	0.788022	1.690318	0.888384	1.749505	0.788022	1.690318	0.888384	1.749505
2.460000	0.782949	1.685246	0.665235	1.790055	0.782949	1.685246	0.665235	1.790055
2.470000	0.788022	1.680175	0.766666	1.850879	0.788022	1.680175	0.766666	1.850879
2.480000	0.782949	1.680175	0.655092	1.795123	0.782949	1.680175	0.655092	1.795123
2.490000	0.788022	1.705532	0.655092	1.673474	0.788022	1.705532	0.655092	1.673474
2.500000	0.793095	1.725817	0.883312	1.795123	0.793095	1.725817	0.883312	1.795123
2.510000	0.798168	1.710603	0.959386	1.749505	0.798168	1.710603	0.959386	1.749505
2.520000	0.813387	1.710603	1.268751	1.719092	0.813387	1.710603	1.268751	1.719092
2.530000	0.808314	1.710603	1.273822	1.916773	0.808314	1.710603	1.273822	1.916773
2.540000	0.803241	1.700460	1.086175	1.511275	0.803241	1.700460	1.086175	1.511275
2.550000	0.798168	1.680175	1.005030	1.141257	0.798168	1.680175	1.005030	1.141257
2.560000	0.788022	1.664960	0.751452	0.761103	0.788022	1.664960	0.751452	0.761103
2.570000	0.777876	1.659889	0.218938	0.137650	0.777876	1.659889	0.218938	0.137650
2.580000	0.772803	1.649746	-0.186787	-0.506079	0.772803	1.649746	-0.186787	-0.506079
2.590000	0.772803	1.659889	-0.313576	-0.830477	0.772803	1.659889	-0.313576	-0.830477
2.600000	0.782949	1.629461	-0.212145	-0.997745	0.782949	1.629461	-0.212145	-0.997745
2.610000	0.782949	1.629461	-0.222288	-1.271457	0.782949	1.629461	-0.222288	-1.271457
2.620000	0.777876	1.629461	-0.318648	-1.676955	0.777876	1.629461	-0.318648	-1.676955
2.630000	0.777876	1.614246	-0.354149	-1.798604	0.777876	1.614246	-0.354149	-1.798604
2.640000	0.737292	1.609175	-0.815661	-1.894910	0.737292	1.609175	-0.815661	-1.894910
2.650000	0.772803	1.619318	-0.511367	-1.808742	0.772803	1.619318	-0.511367	-1.808742
2.660000	0.742365	1.624389	-0.785232	-1.651611	0.742365	1.624389	-0.785232	-1.651611
