11/13/2018
7:39:50 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	1.848281	2.765457	-0.196930	-0.105649	1.848281	2.765457	-0.196930	-0.105649
0.010000	1.843208	2.755314	-0.039712	-0.024550	1.843208	2.755314	-0.039712	-0.024550
0.020000	1.853354	2.745171	-0.100571	-0.191818	1.853354	2.745171	-0.100571	-0.191818
0.030000	1.843208	2.755314	-0.024497	-0.120856	1.843208	2.755314	-0.024497	-0.120856
0.040000	1.853354	2.755314	0.011004	-0.085374	1.853354	2.755314	0.011004	-0.085374
0.050000	1.853354	2.755314	0.158079	0.016000	1.853354	2.755314	0.158079	0.016000
0.060000	1.848281	2.760386	0.234152	0.071756	1.848281	2.760386	0.234152	0.071756
0.070000	1.848281	2.750243	0.366013	0.031206	1.848281	2.750243	0.366013	0.031206
0.080000	1.848281	2.750243	0.259510	-0.014412	1.848281	2.750243	0.259510	-0.014412
0.090000	1.858427	2.755314	0.401514	0.132581	1.858427	2.755314	0.401514	0.132581
0.100000	1.868574	2.750243	0.305154	0.031206	1.868574	2.750243	0.305154	0.031206
0.110000	1.853354	2.750243	0.259510	0.021069	1.853354	2.750243	0.259510	0.021069
0.120000	1.858427	2.750243	0.102292	-0.054962	1.858427	2.750243	0.102292	-0.054962
0.130000	1.853354	2.760386	0.203723	0.122443	1.853354	2.760386	0.203723	0.122443
0.140000	1.868574	2.760386	0.249367	0.137650	1.868574	2.760386	0.249367	0.137650
0.150000	1.848281	2.750243	0.279796	0.132581	1.848281	2.750243	0.279796	0.132581
0.160000	1.853354	2.750243	0.168222	0.046412	1.853354	2.750243	0.168222	0.046412
0.170000	1.853354	2.755314	0.274725	0.112306	1.853354	2.755314	0.274725	0.112306
0.180000	1.863501	2.755314	0.112435	0.026138	1.863501	2.755314	0.112435	0.026138
0.190000	1.853354	2.750243	0.244295	0.061619	1.853354	2.750243	0.244295	0.061619
0.200000	1.853354	2.750243	0.168222	0.031206	1.853354	2.750243	0.168222	0.031206
0.210000	1.858427	2.755314	0.259510	0.147787	1.858427	2.755314	0.259510	0.147787
0.220000	1.853354	2.765457	0.335583	0.213680	1.853354	2.765457	0.335583	0.213680
0.230000	1.848281	2.760386	0.284868	0.284643	1.848281	2.760386	0.284868	0.284643
0.240000	1.858427	2.760386	0.218938	0.239024	1.858427	2.760386	0.218938	0.239024
0.250000	1.853354	2.770528	0.345727	0.304918	1.853354	2.770528	0.345727	0.304918
0.260000	1.868574	2.750243	0.218938	0.127512	1.868574	2.750243	0.218938	0.127512
0.270000	1.853354	2.760386	0.305154	0.152856	1.853354	2.760386	0.305154	0.152856
0.280000	1.858427	2.755314	0.305154	0.137650	1.858427	2.755314	0.305154	0.137650
0.290000	1.858427	2.765457	0.411657	0.244093	1.858427	2.765457	0.411657	0.244093
0.300000	1.853354	2.760386	0.442086	0.173131	1.853354	2.760386	0.442086	0.173131
0.310000	1.848281	2.745171	0.426872	0.000794	1.848281	2.745171	0.426872	0.000794
0.320000	1.853354	2.745171	0.178365	-0.156337	1.853354	2.745171	0.178365	-0.156337
0.330000	1.838135	2.745171	0.147936	-0.201955	1.838135	2.745171	0.147936	-0.201955
0.340000	1.853354	2.745171	-0.095499	-0.328673	1.853354	2.745171	-0.095499	-0.328673
0.350000	1.843208	2.745171	-0.207074	-0.364154	1.843208	2.745171	-0.207074	-0.364154
0.360000	1.848281	2.740100	-0.425151	-0.490873	1.848281	2.740100	-0.425151	-0.490873
0.370000	1.843208	2.750243	-0.364292	-0.303330	1.843208	2.750243	-0.364292	-0.303330
0.380000	1.843208	2.745171	-0.293290	-0.348948	1.843208	2.745171	-0.293290	-0.348948
0.390000	1.833062	2.745171	-0.303433	-0.343879	1.833062	2.745171	-0.303433	-0.343879
0.400000	1.838135	2.745171	-0.364292	-0.369223	1.838135	2.745171	-0.364292	-0.369223
0.410000	1.833062	2.745171	-0.237503	-0.318536	1.833062	2.745171	-0.237503	-0.318536
0.420000	1.843208	2.735029	-0.465723	-0.419910	1.843208	2.735029	-0.465723	-0.419910
0.430000	1.843208	2.740100	-0.278075	-0.328673	1.843208	2.740100	-0.278075	-0.328673
0.440000	1.838135	2.740100	-0.338934	-0.313467	1.838135	2.740100	-0.338934	-0.313467
