11/13/2018
7:36:28 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.580000	0.990943	1.756246	-0.369364	-0.414842	0.990943	1.756246	-0.369364	-0.414842
0.590000	0.980797	1.766389	-0.486010	-0.536491	0.980797	1.766389	-0.486010	-0.536491
0.600000	0.960505	1.761317	-0.486010	-0.648003	0.960505	1.761317	-0.486010	-0.648003
0.610000	0.965578	1.761317	-0.470795	-0.683484	0.965578	1.761317	-0.470795	-0.683484
0.620000	0.975724	1.771460	-0.207074	-0.607453	0.975724	1.771460	-0.207074	-0.607453
0.630000	0.975724	1.761317	-0.242575	-0.501010	0.975724	1.761317	-0.242575	-0.501010
0.640000	0.965578	1.761317	-0.298362	-0.587178	0.965578	1.761317	-0.298362	-0.587178
0.650000	0.965578	1.766389	-0.166501	-0.475666	0.965578	1.766389	-0.166501	-0.475666
0.660000	0.960505	1.761317	-0.171573	-0.424979	0.960505	1.761317	-0.171573	-0.424979
0.670000	0.960505	1.761317	-0.313576	-0.409773	0.960505	1.761317	-0.313576	-0.409773
0.680000	0.960505	1.761317	-0.344006	-0.455391	0.960505	1.761317	-0.344006	-0.455391
0.690000	0.955432	1.781603	-0.202002	-0.161405	0.955432	1.781603	-0.202002	-0.161405
0.700000	0.960505	1.771460	0.142864	-0.014412	0.960505	1.771460	0.142864	-0.014412
0.710000	0.970651	1.766389	0.295011	-0.034687	0.970651	1.766389	0.295011	-0.034687
0.720000	0.975724	1.766389	0.391371	-0.156337	0.975724	1.766389	0.391371	-0.156337
0.730000	0.970651	1.766389	0.447158	-0.085374	0.970651	1.766389	0.447158	-0.085374
0.740000	0.965578	1.761317	0.082005	-0.115787	0.965578	1.761317	0.082005	-0.115787
0.750000	0.950359	1.791746	0.315297	0.071756	0.950359	1.791746	0.315297	0.071756
0.760000	0.960505	1.766389	0.127649	0.137650	0.960505	1.766389	0.127649	0.137650
0.770000	0.950359	1.791746	0.046504	0.279574	0.950359	1.791746	0.046504	0.279574
0.780000	0.945286	1.786674	0.366013	0.360674	0.945286	1.786674	0.366013	0.360674
0.790000	0.980797	1.786674	0.218938	0.391086	0.980797	1.786674	0.218938	0.391086
0.800000	0.950359	1.781603	0.127649	0.355605	0.950359	1.781603	0.127649	0.355605
0.810000	0.945286	1.781603	0.325440	0.375880	0.945286	1.781603	0.325440	0.375880
0.820000	0.950359	1.766389	0.102292	0.107237	0.950359	1.766389	0.102292	0.107237
0.830000	0.945286	1.761317	0.000860	-0.049893	0.945286	1.761317	0.000860	-0.049893
0.840000	0.945286	1.766389	-0.136072	-0.130993	0.945286	1.766389	-0.136072	-0.130993
0.850000	0.950359	1.776532	0.112435	-0.044825	0.950359	1.776532	0.112435	-0.044825
0.860000	0.945286	1.776532	0.229081	0.010931	0.945286	1.776532	0.229081	0.010931
0.870000	0.960505	1.771460	-0.034641	0.051481	0.960505	1.771460	-0.034641	0.051481
0.880000	0.950359	1.766389	-0.156358	-0.060031	0.950359	1.766389	-0.156358	-0.060031
0.890000	0.950359	1.761317	-0.090428	-0.151268	0.950359	1.761317	-0.090428	-0.151268
0.900000	0.955432	1.766389	-0.181716	-0.181680	0.955432	1.766389	-0.181716	-0.181680
0.910000	0.955432	1.766389	-0.085356	-0.166474	0.955432	1.766389	-0.085356	-0.166474
0.920000	0.935140	1.761317	-0.166501	-0.288124	0.935140	1.761317	-0.166501	-0.288124
0.930000	0.945286	1.786674	-0.014354	-0.024550	0.945286	1.786674	-0.014354	-0.024550
0.940000	0.935140	1.766389	0.208794	0.016000	0.935140	1.766389	0.208794	0.016000
0.950000	0.955432	1.766389	0.325440	-0.024550	0.955432	1.766389	0.325440	-0.024550
0.960000	0.960505	1.766389	0.386299	-0.095512	0.960505	1.766389	0.386299	-0.095512
0.970000	0.950359	1.766389	0.457301	-0.034687	0.950359	1.766389	0.457301	-0.034687
0.980000	0.950359	1.766389	0.066791	-0.095512	0.950359	1.766389	0.066791	-0.095512
0.990000	0.945286	1.776532	0.213866	0.046412	0.945286	1.776532	0.213866	0.046412
1.000000	0.950359	1.781603	0.082005	0.132581	0.950359	1.781603	0.082005	0.132581
1.010000	0.945286	1.786674	0.112435	0.335330	0.945286	1.786674	0.112435	0.335330
1.020000	0.935140	1.776532	0.345727	0.350536	0.935140	1.776532	0.345727	0.350536
1.030000	0.965578	1.776532	0.279796	0.350536	0.965578	1.776532	0.279796	0.350536
1.040000	0.950359	1.781603	0.218938	0.350536	0.950359	1.781603	0.218938	0.350536
1.050000	0.945286	1.781603	0.426872	0.446842	0.945286	1.781603	0.426872	0.446842
1.060000	0.950359	1.771460	0.274725	0.269436	0.950359	1.771460	0.274725	0.269436
1.070000	0.950359	1.771460	0.193580	0.218749	0.950359	1.771460	0.193580	0.218749
1.080000	0.940213	1.771460	0.117506	0.208612	0.940213	1.771460	0.117506	0.208612
1.090000	0.955432	1.796817	0.502945	0.462048	0.955432	1.796817	0.502945	0.462048
1.100000	0.940213	1.791746	0.528303	0.543148	0.940213	1.791746	0.528303	0.543148
1.110000	0.965578	1.791746	0.284868	0.639454	0.965578	1.791746	0.284868	0.639454
1.120000	0.970651	1.791746	0.193580	0.609041	0.970651	1.791746	0.193580	0.609041
1.130000	0.970651	1.771460	0.234152	0.411361	0.970651	1.771460	0.234152	0.411361
1.140000	0.965578	1.791746	0.147936	0.386017	0.965578	1.791746	0.147936	0.386017
1.150000	0.965578	1.771460	0.401514	0.375880	0.965578	1.771460	0.401514	0.375880
1.160000	0.940213	1.771460	0.249367	0.152856	0.940213	1.771460	0.249367	0.152856
1.170000	0.955432	1.796817	0.528303	0.345467	0.955432	1.796817	0.528303	0.345467
1.180000	0.945286	1.766389	0.568875	0.254230	0.945286	1.766389	0.568875	0.254230
1.190000	0.950359	1.776532	0.589162	0.213680	0.950359	1.776532	0.589162	0.213680
1.200000	0.965578	1.786674	0.604376	0.254230	0.965578	1.786674	0.604376	0.254230
1.210000	0.950359	1.771460	0.619591	0.269436	0.950359	1.771460	0.619591	0.269436
1.220000	0.945286	1.771460	0.249367	0.137650	0.945286	1.771460	0.249367	0.137650
1.230000	0.960505	1.771460	0.244295	0.132581	0.960505	1.771460	0.244295	0.132581
1.240000	0.950359	1.786674	0.178365	0.259299	0.950359	1.786674	0.178365	0.259299
