10/30/2018
7:58:30 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	6.427854	-0.227337	6.427854	-0.227337
0.010000	6.432938	-0.171364	6.432938	-0.171364
0.020000	6.432938	-0.196806	6.432938	-0.196806
0.030000	6.432938	-0.206983	6.432938	-0.206983
0.040000	6.427854	-0.242602	6.427854	-0.242602
0.050000	6.427854	-0.257868	6.427854	-0.257868
0.060000	6.427854	-0.298576	6.427854	-0.298576
0.070000	6.422770	-0.329106	6.422770	-0.329106
0.080000	6.422770	-0.318929	6.422770	-0.318929
0.090000	6.422770	-0.334195	6.422770	-0.334195
0.100000	6.422770	-0.268045	6.422770	-0.268045
0.110000	6.417686	-0.293487	6.417686	-0.293487
0.120000	6.417686	-0.217160	6.417686	-0.217160
0.130000	6.417686	-0.227337	6.417686	-0.227337
0.140000	6.422770	-0.232426	6.422770	-0.232426
0.150000	6.417686	-0.252779	6.417686	-0.252779
0.160000	6.412602	-0.232426	6.412602	-0.232426
0.170000	6.417686	-0.217160	6.417686	-0.217160
0.180000	6.412602	-0.247691	6.412602	-0.247691
0.190000	6.417686	-0.227337	6.417686	-0.227337
0.200000	6.417686	-0.232426	6.417686	-0.232426
0.210000	6.412602	-0.257868	6.412602	-0.257868
0.220000	6.412602	-0.206983	6.412602	-0.206983
0.230000	6.412602	-0.278222	6.412602	-0.278222
0.240000	6.412602	-0.247691	6.412602	-0.247691
0.250000	6.412602	-0.252779	6.412602	-0.252779
0.260000	6.412602	-0.242602	6.412602	-0.242602
0.270000	6.412602	-0.303664	6.412602	-0.303664
0.280000	6.407517	-0.303664	6.407517	-0.303664
0.290000	6.407517	-0.257868	6.407517	-0.257868
0.300000	6.407517	-0.262956	6.407517	-0.262956
0.310000	6.407517	-0.237514	6.407517	-0.237514
0.320000	6.407517	-0.262956	6.407517	-0.262956
0.330000	6.402433	-0.278222	6.402433	-0.278222
0.340000	6.402433	-0.283310	6.402433	-0.283310
0.350000	6.402433	-0.252779	6.402433	-0.252779
0.360000	6.402433	-0.227337	6.402433	-0.227337
0.370000	6.402433	-0.242602	6.402433	-0.242602
0.380000	6.402433	-0.242602	6.402433	-0.242602
0.390000	6.402433	-0.293487	6.402433	-0.293487
0.400000	6.402433	-0.217160	6.402433	-0.217160
0.410000	6.397349	-0.242602	6.397349	-0.242602
0.420000	6.397349	-0.227337	6.397349	-0.227337
0.430000	6.397349	-0.247691	6.397349	-0.247691
0.440000	6.397349	-0.242602	6.397349	-0.242602
0.450000	6.397349	-0.268045	6.397349	-0.268045
0.460000	6.397349	-0.212072	6.397349	-0.212072
0.470000	6.392265	-0.217160	6.392265	-0.217160
0.480000	6.392265	-0.201895	6.392265	-0.201895
0.490000	6.397349	-0.222249	6.397349	-0.222249
0.500000	6.392265	-0.171364	6.392265	-0.171364
0.510000	6.397349	-0.130656	6.397349	-0.130656
0.520000	6.392265	0.032175	6.392265	0.032175
0.530000	6.392265	0.133944	6.392265	0.133944
0.540000	6.397349	0.169563	6.397349	0.169563
0.550000	6.397349	0.179740	6.397349	0.179740
0.560000	6.397349	0.200094	6.397349	0.200094
0.570000	6.397349	0.077971	6.397349	0.077971
0.580000	6.397349	-0.003445	6.397349	-0.003445
0.590000	6.392265	-0.054329	6.392265	-0.054329
0.600000	6.392265	-0.100126	6.392265	-0.100126
0.610000	6.392265	-0.181541	6.392265	-0.181541
0.620000	6.392265	-0.171364	6.392265	-0.171364
0.630000	6.392265	-0.237514	6.392265	-0.237514
0.640000	6.392265	-0.262956	6.392265	-0.262956
0.650000	6.387181	-0.232426	6.387181	-0.232426
0.660000	6.392265	-0.257868	6.392265	-0.257868
0.670000	6.387181	-0.212072	6.387181	-0.212072
0.680000	6.387181	-0.201895	6.387181	-0.201895
0.690000	6.387181	-0.186629	6.387181	-0.186629
0.700000	6.387181	-0.196806	6.387181	-0.196806
0.710000	6.387181	-0.166276	6.387181	-0.166276
0.720000	6.387181	-0.151010	6.387181	-0.151010
0.730000	6.387181	-0.237514	6.387181	-0.237514
